,age,age,age,games,games,games,games_starts,games_starts,games_starts,minutes,minutes,minutes,minutes_90s,minutes_90s,minutes_90s,goals,goals,goals,assists,assists,assists,goals_assists,goals_assists,goals_assists,goals_pens,goals_pens,goals_pens,pens_made,pens_made,pens_made,pens_att,pens_att,pens_att,cards_yellow,cards_yellow,cards_yellow,cards_red,cards_red,cards_red,goals_per90,goals_per90,goals_per90,assists_per90,assists_per90,assists_per90,goals_assists_per90,goals_assists_per90,goals_assists_per90,goals_pens_per90,goals_pens_per90,goals_pens_per90,goals_assists_pens_per90,goals_assists_pens_per90,goals_assists_pens_per90
,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std
team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenal,25.5,25.272727272727273,3.8195215130621523,25.5,25.318181818181817,8.202127271317593,18.5,19.0,10.770329614269007,1657.5,1698.909090909091,941.375483463321,18.4,18.87727272727273,10.46413065204321,2.5,3.0454545454545454,2.9028274021041844,2.0,2.5,2.939873661036668,3.5,5.545454545454546,5.133709999111593,2.0,2.9545454545454546,2.869831133695977,0.0,0.09090909090909091,0.29424494316824984,0.0,0.09090909090909091,0.29424494316824984,3.5,3.1818181818181817,1.9182423412211709,0.0,0.2727272727272727,0.5504818825631803,0.125,0.17454545454545453,0.15894674977510317,0.11,0.13136363636363638,0.13826459983343375,0.31,0.3063636363636364,0.22421387439643753,0.12,0.17045454545454544,0.1581282563444796,0.31,0.3022727272727273,0.21791068109449094
Aston Villa,26.0,25.821428571428573,4.02817458362848,22.0,21.0,11.238162496435805,11.0,14.928571428571429,12.563700125622262,1129.5,1339.392857142857,1020.8061207905176,12.55,14.882142857142856,11.340457028200657,1.0,2.0,3.421067626297923,0.0,1.6071428571428572,2.698961195421589,2.5,3.607142857142857,5.560037874333336,1.0,1.8928571428571428,3.1309599251523568,0.0,0.10714285714285714,0.41626965212518585,0.0,0.21428571428571427,0.5681120688308978,2.0,2.7142857142857144,2.401498650258994,0.0,0.14285714285714285,0.35634832254989923,0.045,0.16285714285714287,0.26922188484672505,0.0,0.08214285714285714,0.11425627927819702,0.12,0.24500000000000002,0.31510727156413354,0.045,0.15285714285714286,0.2614185963922279,0.12,0.23535714285714285,0.2990909949838398
Bournemouth,25.0,25.041666666666668,4.048393848629749,28.5,23.666666666666668,10.97691913166843,19.5,17.375,12.873337798992011,1764.5,1558.25,1112.103344040511,19.6,17.3125,12.363561907617006,1.0,2.375,3.7044333017286895,1.0,1.7083333333333333,2.0103896803024695,2.0,4.083333333333333,5.2329779257144295,1.0,2.125,3.1939140496453153,0.0,0.25,1.2247448713915892,0.0,0.2916666666666667,1.2328534123049197,3.0,4.041666666666667,3.2097564131697065,0.0,0.125,0.3378319623460881,0.04,0.15583333333333335,0.21313226484706763,0.05500000000000001,0.09375,0.10789739489944583,0.19,0.25,0.27436884092324554,0.04,0.14625000000000002,0.20382883910814464,0.19,0.24041666666666664,0.26207332473228157
Brentford,24.0,25.09090909090909,3.8285778897664677,27.5,24.545454545454547,12.666894506950646,19.0,19.0,14.664502004760308,1681.5,1702.3636363636363,1238.9361621378291,18.700000000000003,18.90909090909091,13.763336704064072,0.0,2.9545454545454546,5.907842025866755,1.5,2.0,2.563479777846623,2.0,4.954545454545454,7.543381032574013,0.0,2.727272727272727,5.284134548067254,0.0,0.22727272727272727,1.0660035817780522,0.0,0.2727272727272727,1.2792042981336627,2.0,2.8181818181818183,2.301890809465405,0.0,0.045454545454545456,0.21320071635561041,0.0,0.10818181818181817,0.19007858935153674,0.08,0.08636363636363636,0.09052994529806696,0.125,0.19409090909090906,0.23651556056549514,0.0,0.10227272727272728,0.17797623753057917,0.125,0.18818181818181817,0.22432197021323236
Brighton,23.0,24.75,5.13250354043644,23.0,21.214285714285715,10.833272283100262,11.5,14.928571428571429,10.721831557978888,1056.0,1339.642857142857,946.3533994305496,11.75,14.889285714285714,10.512544157152664,1.0,2.2857142857142856,3.172300752370756,1.0,1.4642857142857142,1.7101471207481462,2.0,3.75,4.687453703475077,1.0,2.0357142857142856,2.7552259147427174,0.0,0.25,0.9670497325294004,0.0,0.25,0.9670497325294004,2.0,2.7857142857142856,2.6297041497750113,0.0,0.10714285714285714,0.314970394174356,0.095,0.1375,0.14584682477276045,0.03,0.09214285714285715,0.12482156576659052,0.15500000000000003,0.22964285714285712,0.23230698308818526,0.095,0.12428571428571429,0.12850792082313725,0.15500000000000003,0.21642857142857144,0.21229284954574887
Chelsea,23.0,23.0,2.297825058615211,20.5,21.26923076923077,12.343606255248721,13.0,16.076923076923077,12.902474419809794,1117.5,1441.6153846153845,1125.1496283400913,12.4,16.015384615384615,12.505604897251224,1.0,2.3461538461538463,3.665431027230579,1.0,1.8076923076923077,2.298159798956213,2.0,4.153846153846154,5.738935843463021,1.0,2.1923076923076925,3.162520902940953,0.0,0.15384615384615385,0.7844645405527361,0.0,0.19230769230769232,0.9805806756909202,2.5,3.8846153846153846,3.4097146282575976,0.0,0.07692307692307693,0.271746488194703,0.06,0.12615384615384614,0.1534425475043196,0.07,0.115,0.12646738710039043,0.15000000000000002,0.24307692307692308,0.25593388569346154,0.06,0.12192307692307693,0.14636992124802775,0.15000000000000002,0.23884615384615385,0.24977312782726527
Crystal Palace,26.0,25.681818181818183,3.386054926513739,31.0,25.136363636363637,12.060543518295928,19.0,18.863636363636363,14.119542197304838,1743.0,1690.8636363636363,1183.0935757964835,19.4,18.79090909090909,13.153087962289426,1.0,2.1818181818181817,3.567530340063379,1.0,1.7272727272727273,2.2924683760984044,2.0,3.909090909090909,5.1446605784572865,1.0,2.0454545454545454,3.184445421214288,0.0,0.13636363636363635,0.46756252909607565,0.0,0.18181818181818182,0.5884898863364997,2.0,3.5,3.446875742023838,0.0,0.18181818181818182,0.39477101697586137,0.04,0.13636363636363635,0.1830572498153425,0.05,0.09818181818181819,0.1478299010812077,0.14500000000000002,0.23363636363636367,0.3003735048639318,0.04,0.13136363636363635,0.17594088440494668,0.14500000000000002,0.2290909090909091,0.29573007465639517
Everton,25.5,26.727272727272727,4.9969687781391,25.5,24.5,9.743129447388624,17.0,18.954545454545453,11.214265034309657,1582.5,1700.2272727272727,960.5369000531091,17.6,18.895454545454545,10.664023955637331,1.0,1.7727272727272727,2.505837340934319,1.0,1.2272727272727273,1.4778303975702638,2.0,3.0,2.861900800250804,1.0,1.6818181818181819,2.2548648705444823,0.0,0.09090909090909091,0.42640143271122083,0.0,0.09090909090909091,0.42640143271122083,4.0,3.6363636363636362,2.3613042107609887,0.0,0.09090909090909091,0.29424494316824984,0.035,0.09863636363636363,0.13317712711328167,0.05,0.08227272727272728,0.11351239991765188,0.1,0.1809090909090909,0.18523881859216204,0.035,0.09545454545454546,0.12812669595541054,0.1,0.17772727272727273,0.18314531878322143
